10.244.1.7	benign	ocunet-worker	benign-5484d9c878-wkb5p
10.244.1.49	benign	ocunet-worker	benign-5484d9c878-wxx4c
10.244.1.4	benign	ocunet-worker	benign-5484d9c878-x7pds
10.244.1.21	benign	ocunet-worker	benign-5484d9c878-x8ppr
10.244.2.10	benign	ocunet-worker2	benign-5484d9c878-xh6fq
10.244.1.9	benign	ocunet-worker	benign-5484d9c878-zswgz
10.244.1.31	benign	ocunet-worker	benign-5484d9c878-zt6kd
10.244.1.26	benign	ocunet-worker	benign-5484d9c878-zt8wk
10.244.1.11	benign	ocunet-worker	benign-5484d9c878-ztsp6
10.244.1.8	benign	ocunet-worker	benign-5484d9c878-zxscn
10.244.2.43	malicious	ocunet-worker2	malicious-fbc744dc4-5x598
10.244.2.51	malicious	ocunet-worker2	malicious-fbc744dc4-7d7g6
10.244.2.53	malicious	ocunet-worker2	malicious-fbc744dc4-cv9r5
10.244.1.53	malicious	ocunet-worker	malicious-fbc744dc4-dmq57
10.244.1.50	malicious	ocunet-worker	malicious-fbc744dc4-gvxgg
10.244.1.51	malicious	ocunet-worker	malicious-fbc744dc4-ntlwx
10.244.1.52	malicious	ocunet-worker	malicious-fbc744dc4-qcfgm
10.244.2.39	malicious	ocunet-worker2	malicious-fbc744dc4-rhhmm
10.244.2.54	malicious	ocunet-worker2	malicious-fbc744dc4-s7jj2
10.244.1.48	malicious	ocunet-worker	malicious-fbc744dc4-zmsrm
10.244.2.17	victim	ocunet-worker2	victim-6bbf7cc886-b95dn
10.244.2.40	victim	ocunet-worker2	victim-6bbf7cc886-cpr6w
10.244.1.5	victim	ocunet-worker	victim-6bbf7cc886-fp258
10.244.2.18	victim	ocunet-worker2	victim-6bbf7cc886-vbmvl
10.244.1.34	victim	ocunet-worker	victim-6bbf7cc886-xnf49
